bet_id,date,placed_date,settled_date,sport,event,event_id,market_type,source,bet_type,selection,selection_team,line,line_value,home_team,away_team,odds,closing_odds,closing_line,stake,true_probability,ev_pct,edge_score,history_penalty_pct,sportsbook,result,profit,clv_pct,home_score,away_score,notes
401803595-spread-buffalo-sabres-1-5,2026-04-08,2026-04-08,2026-04-08,NHL,Buffalo Sabres at New York Rangers,401803595,spread,espn,Buffalo Sabres -1.5,away,Buffalo Sabres,-1.5,-1.5,New York Rangers,Buffalo Sabres,+170,,,11.95,40.05%,8.13%,100,0.00%,DraftKings,win,20.31,,3,5,Auto projected margin: -1.98 vs market +1.5.
401803606-spread-carolina-hurricanes-1-5,2026-04-09,2026-04-09,2026-04-09,NHL,Carolina Hurricanes at Chicago Blackhawks,401803606,spread,espn,Carolina Hurricanes -1.5,away,Carolina Hurricanes,-1.5,-1.5,Chicago Blackhawks,Carolina Hurricanes,+120,,,17.50,49.20%,8.23%,99,0.00%,DraftKings,win,21.00,,2,7,Auto projected margin: -2.92 vs market +1.5.
401803607-spread-colorado-avalanche-1-5,2026-04-09,2026-04-09,2026-04-09,NHL,Calgary Flames at Colorado Avalanche,401803607,spread,espn,Colorado Avalanche -1.5,home,Colorado Avalanche,-1.5,-1.5,Colorado Avalanche,Calgary Flames,-120,,,16.35,57.46%,5.34%,96,0.00%,DraftKings,win,13.63,,3,1,Auto projected margin: 4.08 vs market -1.5.
401811021-total-under-247-5,2026-04-09,2026-04-09,2026-04-09,NBA,Chicago Bulls at Washington Wizards,401811021,total,espn,Under 247.5,under,,U247.5,247.5,Washington Wizards,Chicago Bulls,-105,,,19.08,54.87%,7.12%,97,0.00%,DraftKings,win,18.17,,108,119,Auto total projection: 228.04 vs market 247.5.
401811025-moneyline-los-angeles-lakers-moneyline,2026-04-09,2026-04-09,2026-04-09,NBA,Los Angeles Lakers at Golden State Warriors,401811025,moneyline,espn,Los Angeles Lakers moneyline,away,Los Angeles Lakers,ML,,Golden State Warriors,Los Angeles Lakers,+160,,,11.27,41.18%,7.07%,100,0.00%,DraftKings,win,18.03,,103,119,"Auto model leans Los Angeles Lakers on win rate, venue split, and core team strength."
401811036-total-under-248-5,2026-04-10,2026-04-10,2026-04-10,NBA,Memphis Grizzlies at Utah Jazz,401811036,total,espn,Under 248.5,under,,U248.5,248.5,Utah Jazz,Memphis Grizzlies,-110,,,15.55,55.49%,5.94%,97,0.00%,DraftKings,win,14.14,,147,101,Auto total projection: 229.83 vs market 248.5.
401814876-total-under-8-5,2026-04-10,2026-04-10,2026-04-10,MLB,Los Angeles Angels at Cincinnati Reds,401814876,total,espn,Under 8.5,under,,U8.5,8.5,Cincinnati Reds,Los Angeles Angels,+102,,,16.53,53.01%,7.08%,73,0.00%,DraftKings,loss,-16.53,,2,10,Auto total projection: 6.21 vs market 8.5.
401814877-moneyline-arizona-diamondbacks-moneyline,2026-04-10,2026-04-10,2026-04-10,MLB,Arizona Diamondbacks at Philadelphia Phillies,401814877,moneyline,espn,Arizona Diamondbacks moneyline,away,Arizona Diamondbacks,ML,,Philadelphia Phillies,Arizona Diamondbacks,+153,,,20.31,44.69%,13.06%,75,0.00%,DraftKings,win,31.07,,4,5,"Auto model leans Arizona Diamondbacks on win rate, venue split, and core team strength."
401814881-moneyline-minnesota-twins-moneyline,2026-04-10,2026-04-10,2026-04-10,MLB,Minnesota Twins at Toronto Blue Jays,401814881,moneyline,espn,Minnesota Twins moneyline,away,Minnesota Twins,ML,,Toronto Blue Jays,Minnesota Twins,+129,,,18.81,48.12%,10.20%,75,0.00%,DraftKings,loss,-18.81,,10,4,"Auto model leans Minnesota Twins on win rate, venue split, and core team strength."
401814887-total-over-8-5,2026-04-10,2026-04-10,2026-04-10,MLB,Washington Nationals at Milwaukee Brewers,401814887,total,espn,Over 8.5,over,,O8.5,8.5,Milwaukee Brewers,Washington Nationals,-105,,,16.08,54.52%,6.44%,72,0.00%,DraftKings,win,15.31,,3,7,Auto total projection: 11.21 vs market 8.5.
